A1,A2,A3,A4,A5,C1,C2,C3,C4,C5,JP1,JP2,JP3,JP4,JP5,gender,education,age
2,4,4,6,NA,5,4,5,4,4,6,4,4,5,2,1,3,48
5,6,6,5,6,5,6,2,2,4,3,4,5,5,5,1,3,38
1,5,6,6,6,6,5,5,1,1,2,4,5,6,5,2,4,51
2,5,5,4,6,5,5,5,2,2,5,4,5,4,5,2,1,52
4,4,4,NA,5,4,4,4,NA,3,4,2,4,NA,5,2,5,60
1,6,5,5,6,3,4,5,5,6,4,5,6,6,4,2,NA,35
4,2,4,6,5,5,5,4,1,2,3,2,3,5,5,2,2,43
2,5,5,4,4,2,3,3,4,3,1,6,4,3,6,2,4,54
2,6,6,6,6,5,5,5,1,5,5,1,5,5,6,1,5,49
1,6,2,6,5,5,5,5,4,2,2,6,1,4,5,2,3,71
1,6,6,6,6,6,5,3,3,4,2,1,5,5,6,2,3,42
2,5,5,6,4,4,5,4,2,3,2,3,4,4,5,2,3,58
3,3,6,2,6,3,4,3,4,4,1,1,6,6,5,2,5,46
4,4,NA,3,4,5,3,4,3,3,2,2,3,3,5,2,2,56
1,5,3,4,4,6,4,4,1,1,3,4,3,5,5,2,3,39
2,6,5,4,5,5,2,5,3,2,2,4,4,6,4,2,3,53
1,5,5,6,5,5,4,4,4,4,1,2,4,6,4,2,1,60
3,4,3,5,5,3,2,2,3,2,4,2,3,4,3,2,5,46
1,6,6,5,2,4,2,2,5,4,6,1,5,6,1,2,NA,32
3,5,5,4,4,5,5,6,1,1,2,1,4,5,5,2,3,50
2,6,5,5,6,5,4,2,2,4,2,4,5,5,3,2,1,79
4,5,5,4,5,2,6,6,1,1,6,1,5,5,5,2,3,52
4,3,2,5,3,4,2,4,4,5,5,4,4,4,2,1,2,50
1,4,6,5,6,5,6,5,1,1,2,2,6,6,4,2,4,52
1,5,6,6,3,5,5,4,2,4,1,3,4,5,5,2,5,49
3,4,4,5,4,5,5,6,1,2,3,3,2,4,5,1,3,47
3,4,5,2,3,5,3,4,1,1,6,5,2,1,3,2,3,68
1,6,5,6,5,4,4,5,2,5,3,2,5,5,4,2,4,59
3,6,6,6,4,5,2,5,4,3,4,2,3,4,5,2,3,42
1,6,3,5,3,2,3,2,3,4,4,2,3,3,4,2,3,46
1,2,1,4,2,6,5,5,1,1,6,6,4,1,3,2,3,46
3,5,5,6,3,5,2,4,1,5,1,1,3,3,5,2,2,59
4,6,5,6,6,5,3,2,3,5,1,2,3,4,5,2,3,52
1,5,6,6,6,1,5,6,4,1,6,6,3,2,5,2,3,72
3,5,5,6,5,5,4,5,2,3,2,4,4,5,4,2,3,60
3,6,5,6,6,5,6,5,1,3,1,2,5,6,6,2,2,60
1,6,6,6,6,1,5,6,1,1,1,6,5,5,1,2,3,60
1,6,4,6,6,5,6,4,3,4,3,2,5,6,2,2,3,60
3,6,5,6,5,5,6,6,1,2,1,2,5,6,6,2,2,44
1,6,6,5,6,6,5,6,2,2,5,4,5,3,3,2,3,43
5,NA,5,6,5,6,6,5,NA,2,5,2,6,3,6,2,3,46
5,NA,5,6,5,6,6,5,1,2,5,2,6,3,6,2,3,46
2,6,6,6,6,6,6,5,1,1,1,1,6,5,6,2,2,71
NA,6,6,6,6,4,5,4,1,1,4,1,6,6,6,2,1,59
1,6,6,6,6,6,5,4,2,3,1,1,6,6,5,2,3,40
2,6,5,6,5,5,4,1,3,1,4,1,6,6,5,2,1,39
2,5,2,4,2,2,3,2,3,5,5,5,4,2,5,1,5,48
2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,1,55
2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,1,55
2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,1,55
2,5,2,5,5,5,6,5,1,3,2,2,5,2,4,1,1,55
2,5,5,5,5,5,6,4,2,4,2,2,4,2,4,1,1,55
2,5,5,5,5,5,6,4,2,4,2,2,4,3,5,1,1,55
2,5,5,5,5,5,6,4,2,4,2,2,4,3,5,1,1,55
2,5,2,6,5,2,2,2,4,5,2,1,4,5,2,2,4,52
4,5,6,6,3,6,6,6,1,1,2,4,4,5,6,2,3,44
2,6,6,6,5,6,5,6,4,4,4,1,4,6,5,2,1,43
5,4,5,6,4,6,5,6,1,3,5,5,5,5,6,1,3,59
2,5,6,5,5,4,5,5,1,NA,6,5,3,2,5,1,4,68
1,4,4,5,4,2,5,2,4,3,6,5,3,5,5,2,1,46
4,4,4,5,5,4,4,4,2,4,4,5,4,5,5,1,3,48
1,6,6,6,5,6,5,6,5,4,5,1,5,6,5,2,1,43
2,6,6,5,4,4,3,5,1,2,5,2,4,2,5,1,3,44
2,5,6,6,5,4,4,4,2,4,3,3,5,5,5,2,3,49
5,4,2,2,1,4,4,3,6,6,4,1,4,2,6,2,NA,39
6,1,1,4,1,6,6,6,1,1,6,6,1,1,2,1,3,49
1,6,6,6,5,6,6,6,1,1,2,3,6,5,6,2,3,46
4,4,3,4,2,3,4,4,5,5,6,5,2,2,2,2,NA,35
4,5,5,5,4,5,5,4,3,3,3,2,5,5,6,2,3,57
3,6,6,6,5,5,5,5,1,2,1,1,5,5,6,1,3,50
5,6,5,6,5,5,5,5,4,3,3,2,5,6,5,2,3,56
1,6,5,6,5,6,4,5,1,1,1,1,5,5,6,2,3,53
2,5,4,6,5,3,5,5,1,2,4,3,2,5,6,1,3,43
1,6,6,6,6,1,6,6,1,1,1,1,6,6,6,2,2,42
2,5,6,5,4,6,6,4,1,5,1,2,4,5,5,2,3,37
2,2,2,1,3,3,4,2,5,5,5,6,2,1,1,1,2,48
5,4,4,4,3,6,6,6,1,6,3,2,4,4,5,2,3,56
2,5,4,4,6,4,3,3,2,4,3,2,4,5,3,2,3,49
2,5,5,5,5,2,1,2,5,4,5,5,5,4,2,2,5,79
1,5,6,6,5,5,5,6,1,3,3,3,5,6,5,2,3,39
3,6,5,6,6,5,3,3,2,2,1,3,6,4,6,1,3,47
1,5,1,5,5,5,4,3,2,2,2,4,3,5,4,2,4,61
1,5,6,5,5,5,4,4,1,4,1,2,3,6,4,2,4,47
2,6,NA,5,5,6,5,6,2,3,1,1,6,6,6,2,2,44
2,5,5,5,4,6,2,4,2,5,1,2,5,5,5,2,5,80
1,5,5,6,6,6,1,5,3,1,6,6,1,5,1,2,3,72
1,5,6,6,6,6,5,6,1,2,1,1,5,6,NA,2,3,41
3,5,5,6,5,5,5,3,4,1,4,3,4,4,5,2,3,40
2,6,6,6,6,5,5,3,1,1,1,4,5,6,4,2,3,45
1,6,5,6,6,5,6,5,1,1,3,4,3,6,4,2,3,44
2,2,4,3,2,4,3,4,3,4,4,2,1,5,4,2,2,45
2,4,4,3,3,4,2,4,4,2,5,3,3,4,4,2,2,50
4,2,1,3,1,3,1,2,4,2,3,4,1,3,2,2,3,39
6,5,5,6,6,3,1,4,5,2,3,1,6,5,3,1,3,37
2,6,6,6,6,6,6,6,1,1,3,6,6,1,6,2,3,72
2,5,6,5,4,4,3,4,5,4,1,2,4,6,5,2,3,47
1,6,6,6,6,6,6,5,1,4,1,1,6,6,6,2,3,75
1,6,2,6,6,5,4,2,1,2,1,1,5,6,5,2,5,59
1,6,6,6,6,6,5,5,1,2,2,1,5,5,6,2,3,59
1,3,2,6,3,5,5,5,2,4,5,6,1,3,3,2,3,59
3,5,2,5,5,4,4,NA,4,5,4,2,5,3,4,1,3,38
2,6,6,2,6,6,3,5,1,2,1,1,5,5,6,2,3,71
1,5,6,6,6,6,5,5,5,1,6,5,5,5,2,2,3,45
2,5,5,6,5,6,5,5,3,3,2,3,4,5,5,2,1,35
1,4,4,6,4,3,4,2,2,2,2,4,4,4,4,2,2,62
2,6,5,6,4,5,6,5,1,2,1,4,5,5,5,2,4,44
1,5,5,6,5,5,5,5,1,3,6,4,2,5,5,2,3,66
1,6,6,3,6,3,4,6,5,2,6,1,6,6,6,2,3,57
4,5,5,6,5,5,5,5,2,2,4,2,2,6,2,2,3,44
1,6,5,5,2,1,4,6,4,NA,3,1,1,3,5,1,3,40
2,5,1,6,6,6,6,5,1,1,2,1,6,5,6,2,4,70
1,6,5,3,4,4,3,3,1,1,6,3,3,3,5,2,3,66
4,3,5,5,5,4,6,5,2,3,4,1,5,6,6,1,2,43
4,4,5,6,5,5,6,6,1,2,3,4,5,6,6,2,3,38
2,6,4,2,5,6,3,5,2,1,3,2,4,5,5,1,2,41
4,5,4,5,4,5,4,4,5,5,1,4,6,5,6,2,3,46
1,5,6,5,6,6,5,5,1,2,2,1,5,1,5,2,3,73
3,6,6,6,6,4,5,3,1,1,1,1,5,6,3,2,2,46
1,6,6,6,6,5,6,5,1,1,5,2,6,6,6,1,3,50
5,6,5,4,5,1,6,5,3,4,4,1,6,5,6,1,2,71
5,6,6,5,6,5,4,6,2,4,3,3,4,4,5,2,3,54
2,4,2,6,4,5,5,5,2,2,3,3,5,5,5,2,3,48
2,6,5,5,4,5,5,5,NA,2,1,4,4,6,5,2,2,62
1,6,5,5,6,6,6,4,1,2,2,4,4,5,5,1,3,41
1,6,6,6,6,1,4,4,4,1,5,1,6,6,6,2,3,40
2,4,6,5,6,5,4,4,1,2,4,3,6,5,4,1,1,46
1,5,6,6,5,5,4,4,1,2,1,4,4,4,5,2,3,38
3,5,5,6,5,3,6,3,3,1,4,2,4,5,6,2,3,59
6,1,6,6,6,6,5,6,1,1,4,1,6,6,6,2,3,65
2,5,4,6,4,5,5,5,1,2,1,1,5,6,6,2,3,40
3,2,4,6,6,6,2,5,1,2,3,2,5,6,4,1,3,63
2,4,4,6,4,6,5,3,2,2,5,5,2,3,4,2,3,43
2,4,6,5,5,2,6,5,3,2,4,2,4,5,6,2,3,45
1,6,5,6,4,6,6,5,1,2,1,5,2,5,6,2,3,71
1,5,4,6,4,4,6,5,4,1,6,4,5,4,6,2,3,46
1,6,6,6,6,6,6,5,1,1,1,1,5,6,6,1,3,48
3,5,5,6,5,6,6,5,1,1,3,2,6,6,6,2,3,43
4,6,6,6,5,4,3,4,4,3,2,4,4,5,4,2,3,54
1,4,4,4,6,4,4,6,3,3,4,2,4,6,2,1,3,43
2,5,5,4,6,4,3,5,2,3,3,2,5,NA,3,2,3,49
1,6,5,6,5,4,5,6,1,1,1,1,5,5,6,2,3,55
2,4,2,6,5,3,5,4,2,2,NA,4,3,4,4,2,3,60
6,6,6,6,6,5,6,6,1,1,1,1,6,6,6,2,2,47
1,6,4,3,5,5,4,4,3,4,1,2,4,5,3,1,4,65
1,6,5,5,6,6,5,5,1,3,1,1,5,6,6,1,2,80
2,4,5,6,5,5,5,5,2,4,3,4,4,5,1,2,3,47
4,5,4,5,4,3,1,1,3,6,2,3,4,5,3,1,3,40
1,5,5,6,4,5,4,5,4,2,4,4,4,5,3,2,3,41
3,4,4,5,5,5,4,3,3,4,2,2,5,6,4,2,3,45
1,4,6,5,6,5,2,6,1,1,1,3,5,1,5,2,2,71
2,5,5,6,5,1,5,2,1,2,1,5,5,5,3,2,3,47
1,5,4,1,5,5,4,5,2,5,6,6,3,1,2,1,3,44
1,5,6,6,5,2,5,4,2,1,1,1,4,6,4,2,1,41
3,4,NA,5,3,5,5,4,2,5,3,5,1,2,3,2,2,75
5,4,3,4,3,3,2,3,4,4,3,3,5,4,3,1,2,50
5,4,4,4,2,5,2,2,4,2,3,4,NA,4,3,1,3,51
3,5,5,5,5,5,4,3,2,4,2,2,4,4,4,2,2,42
3,4,4,6,5,5,4,5,2,1,5,3,4,4,4,2,3,48
4,5,4,5,2,5,5,5,3,2,3,2,6,2,6,2,3,44
1,6,6,6,5,2,5,6,4,6,6,5,5,5,6,2,3,51
1,6,4,6,5,2,5,6,1,2,1,3,4,3,5,2,3,63
2,4,4,6,5,5,2,5,1,2,2,2,3,5,4,1,3,80
2,4,5,3,5,4,4,5,4,5,5,6,3,4,3,1,3,56
5,4,4,6,4,5,5,5,2,2,4,2,3,5,5,2,4,60
2,5,4,4,4,2,2,4,2,5,1,1,5,6,5,1,3,41
1,6,5,4,5,6,5,6,1,2,1,1,5,5,5,2,4,41
4,3,5,6,5,4,5,5,1,2,3,4,4,6,5,2,1,39
1,6,6,6,1,1,4,6,1,1,4,1,3,3,2,2,3,56
4,5,4,2,2,5,3,3,3,5,5,6,3,5,3,1,4,62
4,5,4,6,4,1,1,2,4,5,1,1,3,4,6,1,2,44
1,6,6,6,6,6,6,5,1,2,1,1,6,5,5,2,3,64
3,6,6,6,5,2,5,5,2,2,3,4,4,5,4,2,3,50
1,5,5,6,5,4,5,4,4,4,2,1,5,6,5,2,3,43
2,5,3,2,4,2,2,4,4,4,3,3,6,5,4,2,2,46
1,6,6,5,6,NA,5,5,1,1,2,1,6,5,6,1,3,52
1,4,5,4,5,3,5,4,2,4,4,3,4,4,4,1,3,49
1,6,6,6,5,6,6,6,1,2,3,3,5,6,6,2,3,67
2,5,4,6,4,6,5,4,2,1,3,2,3,4,5,1,3,64
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,45
3,6,5,6,5,5,6,5,1,4,2,2,4,6,5,2,3,48
1,5,6,6,6,6,6,5,1,4,3,2,6,5,6,2,4,52
1,1,5,6,3,5,3,1,2,5,4,3,1,5,4,2,3,57
1,6,6,6,6,6,6,5,2,3,1,2,6,5,5,2,3,59
1,6,4,6,6,4,4,3,5,2,1,1,3,6,4,1,2,60
1,5,5,6,6,6,5,6,1,1,3,1,6,6,5,2,4,46
5,4,4,5,5,4,3,4,4,3,3,1,2,3,5,1,3,47
2,5,2,5,4,5,4,1,5,5,2,5,1,6,5,2,3,61
1,5,5,5,5,2,4,4,6,5,4,6,3,5,1,2,3,54
1,6,6,6,6,3,4,1,1,4,1,1,6,6,6,2,3,43
3,5,6,6,4,3,5,3,1,1,1,1,5,5,6,1,3,51
6,6,6,6,6,5,6,5,1,1,5,5,4,2,5,2,3,58
1,6,5,5,5,4,4,4,4,2,2,3,3,5,2,2,3,64
3,6,1,5,6,6,3,3,2,4,1,1,5,6,6,2,3,51
1,6,5,6,5,4,5,5,2,4,2,3,5,5,4,1,5,53
3,2,3,4,2,NA,3,2,2,3,6,6,2,5,3,2,3,48
1,5,5,5,6,6,6,6,1,1,1,2,5,6,6,1,3,66
2,6,6,5,3,6,5,6,1,6,1,5,4,4,6,2,3,56
4,5,5,6,6,3,5,6,5,3,6,6,5,6,5,2,3,48
1,4,6,6,6,3,4,2,2,5,4,3,4,4,4,2,3,48
3,6,6,6,5,6,5,6,1,2,3,1,5,6,5,2,3,62
1,5,5,6,4,4,4,4,3,2,1,2,4,5,4,2,3,52
2,5,2,1,3,4,2,4,4,5,4,4,2,4,3,2,3,39
2,5,4,6,5,4,5,4,3,4,1,3,4,5,5,2,3,45
4,5,5,6,5,4,6,6,4,4,1,5,4,4,5,2,5,57
2,6,5,6,6,6,6,5,4,2,1,2,5,6,5,2,3,49
6,2,5,6,2,6,5,3,5,3,5,2,4,5,6,2,3,52
1,5,5,6,5,5,5,5,3,3,2,1,5,6,6,1,3,47
1,6,4,4,4,4,4,6,2,2,6,6,5,5,6,2,3,47
1,5,4,5,5,4,4,3,NA,4,3,2,4,5,4,1,3,59
2,5,6,5,4,1,5,6,1,4,4,1,5,4,6,1,NA,65
4,6,6,2,5,5,5,5,2,1,5,2,6,6,6,2,3,58
1,5,5,6,5,4,4,4,1,2,4,2,5,6,5,2,1,42
1,6,5,6,4,5,5,5,2,2,2,2,3,6,3,2,1,43
5,6,2,6,5,4,5,4,2,4,5,2,3,5,4,2,3,45
NA,6,6,NA,6,6,6,5,1,1,1,1,5,6,6,2,3,55
2,6,5,6,5,4,6,5,1,2,4,4,5,5,6,2,3,53
3,6,6,6,3,6,4,6,4,2,1,1,5,6,6,2,2,48
1,6,6,6,6,5,6,6,2,4,6,4,5,5,5,2,3,63
2,5,5,6,6,4,5,5,1,2,1,2,4,6,5,1,1,50
3,4,4,6,4,4,4,3,4,4,1,5,4,3,3,2,3,47
4,6,5,6,6,5,5,5,2,2,1,1,4,6,6,2,3,39
2,6,4,6,5,4,4,2,4,4,2,2,6,6,5,2,2,43
1,6,5,6,6,3,2,5,2,NA,1,1,4,6,6,2,3,51
3,4,2,4,4,5,1,4,2,1,1,4,3,3,4,2,1,42
1,6,6,4,5,4,3,4,4,4,3,6,6,3,6,1,3,60
1,5,6,6,5,4,4,4,2,5,3,5,1,2,4,2,3,60
1,6,6,6,6,2,NA,6,1,NA,6,5,6,6,6,2,3,75
1,6,6,6,6,2,5,6,1,NA,6,5,6,6,6,2,3,75
1,6,6,6,6,5,6,6,1,1,1,1,6,6,6,2,3,74
1,5,4,5,4,4,2,3,NA,3,3,4,3,1,4,2,1,73
2,6,6,6,6,5,4,5,1,4,6,4,6,5,4,1,3,40
2,5,5,6,6,2,6,4,1,3,5,4,6,4,5,1,3,72
1,6,6,6,6,6,6,5,2,1,5,6,6,5,6,2,3,45
2,6,6,6,5,6,5,6,1,1,4,5,4,5,6,1,3,66
3,4,4,4,4,4,4,4,2,4,5,3,4,4,4,1,3,39
1,4,1,4,5,6,6,5,1,1,2,2,4,6,6,1,3,58
2,5,5,4,3,4,2,5,4,3,3,3,4,4,5,2,3,47
1,6,6,4,4,5,4,5,4,5,2,4,4,4,5,2,3,47
2,5,6,4,6,6,6,6,1,2,4,3,5,4,6,1,3,54
2,6,5,6,3,4,5,5,1,1,3,6,4,3,6,2,3,41
4,6,6,5,6,6,6,6,1,1,1,1,6,6,6,2,2,49
2,1,6,6,6,5,6,5,1,1,5,5,6,5,5,2,3,47
2,5,4,4,2,4,3,5,4,3,4,4,3,3,3,2,2,61
2,5,5,5,1,5,5,2,4,2,2,2,NA,5,5,2,3,72
3,5,3,6,1,4,3,3,5,5,3,6,1,2,2,2,3,50
3,5,5,6,5,5,5,5,2,2,2,2,4,5,4,2,2,70
4,4,4,4,4,5,4,4,1,2,4,3,3,4,5,2,3,63
2,6,6,6,5,2,1,4,4,1,2,2,5,6,4,2,5,52
4,3,1,3,3,6,4,4,2,2,3,4,3,4,5,1,3,39
2,6,6,6,6,5,5,5,2,3,5,5,5,5,4,2,4,42
3,6,4,6,5,5,5,5,2,4,5,2,4,5,5,2,3,41
1,3,2,3,2,5,5,2,4,5,5,5,3,2,3,1,5,70
1,6,6,4,6,5,5,6,1,2,5,2,4,5,3,2,4,47
1,5,4,5,5,1,6,4,1,1,4,4,1,5,5,2,3,68
4,4,2,4,4,4,4,4,3,4,3,5,2,2,4,2,NA,32
1,4,4,5,5,3,1,2,2,2,4,5,2,3,5,2,3,63
2,5,5,6,5,6,5,4,2,2,1,1,6,6,6,1,3,57
3,5,5,5,4,4,4,4,3,3,4,2,4,4,5,2,3,38
2,5,4,5,5,4,4,4,3,3,4,3,3,4,5,2,3,38
1,5,5,6,6,5,6,4,2,2,5,4,5,5,5,2,3,44
4,6,6,6,6,4,3,1,3,2,1,4,4,6,5,2,3,43
3,4,6,3,3,6,4,4,2,3,1,2,6,6,6,2,3,40
1,6,6,6,6,6,5,4,1,1,5,3,4,5,6,2,2,52
1,4,5,5,5,4,2,4,2,4,4,2,2,5,3,1,4,57
1,6,6,6,5,6,5,5,1,2,5,5,4,5,2,1,3,39
2,4,4,5,2,5,5,1,1,6,3,4,3,2,1,2,3,49
2,5,2,6,4,6,5,4,1,2,2,2,5,5,5,2,3,40
1,5,6,6,5,4,2,4,1,1,2,2,5,6,5,2,4,46
2,4,2,5,4,5,5,4,4,6,5,5,2,2,4,2,4,53
4,4,4,6,2,2,4,4,3,4,5,4,2,4,4,2,5,58
1,5,6,6,6,6,5,5,1,5,1,6,6,6,5,1,2,46
3,5,5,6,6,5,5,5,2,2,1,2,5,6,6,2,3,50
5,6,6,6,6,5,5,4,1,1,5,1,5,6,3,1,3,56
1,6,6,6,6,6,5,5,3,1,5,4,4,4,5,2,3,61
1,5,5,6,6,5,3,4,2,3,3,5,4,5,4,2,5,54
1,6,5,6,4,4,2,4,5,3,1,6,4,4,1,2,3,55
3,6,5,6,5,3,5,5,1,1,3,1,3,4,4,2,3,60
6,1,1,1,1,6,6,6,1,1,6,6,1,1,6,2,3,53
5,5,4,5,5,5,5,5,3,1,4,5,4,4,5,2,3,48
1,6,5,2,5,5,5,3,3,5,1,1,4,6,4,2,3,49
6,1,1,2,3,2,4,2,4,4,3,5,4,3,4,2,NA,37
2,5,5,5,4,4,5,5,2,1,1,1,3,5,4,2,3,70
2,NA,5,3,6,2,1,5,2,6,1,1,5,6,6,1,3,40
5,5,5,6,3,4,5,5,2,2,4,6,4,5,4,2,3,39
4,6,6,6,4,4,6,6,3,5,3,2,6,5,6,2,2,45
2,5,4,4,4,3,4,3,4,5,2,4,4,4,4,2,3,51
3,4,5,6,5,6,4,4,2,4,2,3,4,6,6,2,4,52
2,6,6,6,6,5,5,5,2,4,2,4,5,6,5,2,3,52
5,3,4,1,4,5,4,5,3,4,2,4,4,4,3,2,3,39
1,5,6,5,5,6,6,5,2,2,3,2,5,4,2,2,3,42
2,6,3,6,5,6,6,6,1,1,4,2,1,2,2,2,3,43
1,6,5,2,5,1,2,3,3,1,1,2,5,1,3,2,1,38
1,NA,NA,NA,5,6,NA,NA,NA,2,NA,2,NA,6,NA,2,3,39
4,6,6,6,6,4,6,5,3,3,5,5,6,6,5,2,3,44
NA,6,3,5,4,5,5,5,1,2,2,4,3,5,4,2,3,50
2,6,6,NA,6,4,3,4,1,1,3,1,4,5,5,2,3,53
5,5,5,6,5,6,6,4,4,4,6,5,2,3,3,1,2,71
1,5,4,2,5,5,5,4,2,4,5,2,5,5,5,2,4,64
4,5,6,1,5,6,5,4,2,5,1,4,3,5,6,2,3,43
4,4,5,4,4,4,4,3,NA,4,5,4,3,4,3,1,3,42
2,6,6,5,5,4,4,3,4,3,1,1,6,6,6,2,3,46
2,5,5,6,4,4,4,2,3,5,2,5,4,4,4,2,3,44
1,6,6,6,6,5,5,2,4,5,2,3,6,5,5,2,3,72
1,6,5,6,6,6,6,6,1,1,1,1,5,6,6,2,3,63
3,4,6,4,5,5,4,3,NA,4,4,3,4,5,4,1,3,45
2,6,6,6,6,NA,5,2,1,2,1,1,5,6,5,2,3,46
2,5,5,6,5,4,5,5,2,5,2,2,5,5,NA,2,2,46
3,6,6,6,5,5,6,6,2,1,5,4,5,5,6,2,4,45
1,6,6,6,6,6,6,6,1,1,1,1,6,6,6,2,2,46
3,4,4,4,4,5,3,4,3,5,4,4,2,3,4,2,2,61
2,4,4,3,5,3,4,3,4,4,3,5,5,4,3,2,1,41
2,6,6,6,5,6,6,5,3,3,4,5,4,4,4,2,3,43
5,2,3,5,4,6,4,5,2,4,5,6,2,2,2,1,4,54
1,6,6,6,6,6,5,6,1,1,2,3,3,6,5,2,3,61
3,5,3,5,5,6,4,4,2,5,2,2,2,6,4,2,3,43
1,6,5,6,5,6,5,5,4,2,4,5,4,5,5,1,2,44
1,5,5,5,6,5,5,5,2,1,6,5,2,5,3,2,4,65
3,4,5,6,5,4,6,4,1,1,2,2,5,5,6,2,3,63
2,5,5,6,4,3,4,4,3,3,4,4,4,4,5,2,NA,35
1,6,6,4,5,5,4,5,2,1,2,2,5,6,5,2,NA,35
2,5,5,3,5,5,6,3,1,6,1,2,4,5,5,1,NA,36
5,6,6,4,5,5,5,4,2,3,3,2,5,6,4,1,NA,36
5,4,5,1,5,3,5,5,4,2,3,4,4,3,2,1,NA,35
3,5,2,NA,5,4,3,3,3,5,4,4,3,4,2,1,NA,36
1,6,5,6,5,4,5,5,1,2,1,2,4,5,4,2,4,47
1,6,6,6,6,5,6,6,2,1,1,4,6,4,5,2,5,57
1,5,6,6,1,3,5,5,2,2,2,1,4,6,4,2,2,45
3,2,4,1,4,5,6,3,2,4,4,3,2,4,5,2,NA,36
1,6,4,5,4,5,5,5,1,4,3,3,5,5,5,2,3,41
5,6,3,2,2,5,6,6,1,2,5,3,4,5,4,1,NA,36
4,4,3,3,3,3,3,3,3,4,3,4,3,6,3,1,NA,36
2,3,4,4,5,3,2,5,4,6,3,2,4,5,2,1,3,47
2,6,4,2,5,5,5,5,1,1,5,2,6,4,6,2,3,47
2,4,4,3,5,3,2,3,4,4,4,2,5,5,5,1,3,50
2,5,5,6,5,5,5,5,5,4,6,4,3,5,2,1,3,43
5,6,6,6,6,4,5,5,2,1,1,1,5,6,5,1,3,61
2,5,5,3,2,5,4,6,1,4,3,6,2,1,5,2,3,46
2,6,5,6,5,6,6,6,1,5,2,2,4,5,4,2,3,37
2,4,4,4,5,3,4,3,3,4,4,4,3,4,4,2,3,55
3,1,5,6,4,5,6,1,2,1,5,3,5,6,5,1,3,38
2,4,2,2,3,5,5,5,2,2,4,5,2,3,2,1,3,39
2,5,6,6,2,5,5,5,1,2,2,5,2,2,5,1,2,62
2,6,6,6,5,5,5,6,2,2,1,2,5,6,4,2,3,39
1,6,6,5,5,5,4,5,2,6,1,2,6,6,6,2,3,55
1,6,NA,6,6,5,6,5,NA,1,1,3,6,5,5,2,3,72
2,5,4,5,5,4,4,5,3,4,3,2,4,5,5,1,3,39
2,6,5,5,2,4,6,5,2,4,2,6,4,3,5,2,3,61
1,6,5,6,6,5,5,6,2,2,2,2,5,5,6,2,4,43
1,6,6,NA,5,1,6,6,1,1,2,5,4,4,6,2,3,62
2,5,5,5,5,3,4,5,2,4,2,2,6,6,6,1,1,39
1,6,6,6,1,4,2,2,2,4,1,1,6,5,6,2,3,65
1,5,4,5,5,6,5,6,1,1,2,1,5,6,5,2,3,64
1,3,4,4,4,5,6,4,4,4,6,4,2,3,2,1,3,41
2,6,5,6,4,5,5,6,2,3,1,2,5,6,5,2,1,39
3,6,5,4,4,5,5,6,2,4,4,4,3,4,5,1,3,38
1,1,5,6,6,6,5,2,1,5,4,5,2,5,3,1,5,54
2,6,4,2,5,NA,3,3,1,1,5,4,6,3,5,1,5,45
1,6,5,6,5,6,6,6,1,2,1,2,4,6,6,2,5,73
1,5,5,6,5,3,4,3,2,2,2,3,3,5,3,2,3,56
5,4,6,2,4,4,4,4,3,5,5,4,2,4,5,1,1,39
5,6,6,6,6,6,5,5,1,1,2,3,5,6,6,2,4,51
3,5,5,3,4,4,4,6,2,4,1,3,5,5,6,1,5,43
1,6,6,5,6,4,5,5,2,2,2,1,3,5,5,2,3,39
3,4,5,6,2,3,5,4,2,3,3,2,3,5,4,2,3,46
2,4,4,6,4,4,5,4,2,2,1,2,4,5,4,2,2,43
3,4,4,6,5,3,3,2,3,4,1,1,3,6,4,1,3,45
3,3,3,4,5,3,5,5,1,6,1,4,4,5,5,2,NA,37
2,5,4,4,3,4,3,4,3,4,3,4,3,3,3,2,1,37
3,5,2,1,2,5,1,2,2,4,1,2,5,5,6,2,1,37
4,6,4,2,4,4,4,4,4,4,4,2,3,5,3,1,NA,37
2,5,5,2,4,5,5,4,3,4,2,2,4,5,5,2,3,36
3,6,6,3,4,3,4,6,2,1,6,3,1,4,4,1,NA,37
1,5,6,5,5,5,4,4,2,2,2,1,5,6,4,1,NA,37
2,4,5,1,5,4,2,2,4,3,2,5,4,4,4,1,NA,37
1,5,4,5,5,6,6,2,1,1,NA,6,2,5,5,2,3,40
3,4,6,1,2,5,5,2,3,5,1,6,5,4,5,2,NA,37
3,4,2,3,4,4,5,3,3,5,2,4,5,5,5,1,NA,37
2,5,6,5,4,3,2,2,5,6,2,3,3,6,4,1,NA,36
2,5,6,2,4,6,6,6,1,4,3,2,2,5,3,2,NA,37
2,4,5,2,3,4,4,4,2,4,1,5,4,4,4,2,NA,37
1,5,5,5,5,3,4,3,4,4,1,4,5,4,6,1,NA,37
1,5,5,6,4,5,5,3,2,3,5,4,2,2,5,2,3,44
2,6,6,6,6,5,5,5,3,4,2,1,5,6,6,1,3,38
1,5,6,2,3,5,3,2,2,4,5,4,4,5,6,1,3,42
3,6,6,6,6,6,5,6,2,1,1,1,6,6,5,2,3,47
